priority,family,reference,kind,url,why_it_matters,steal,avoid
P0,show-grammar,grandMA3 Cues and Sequences,official-doc,https://help.malighting.com/grandMA3/2.3/HTML/cue_sequence.html,Cue/sequence/executor model for authored playback,cue taxonomy; executor thinking; timing hierarchy,literal console UX
P0,show-grammar,grandMA3 Cue Timing,official-doc,https://help.malighting.com/grandMA3/2.3/HTML/cue_timing.html,Multi-level transition timing model,authored delays/fades/rates by cue class,one global transition value
P0,show-grammar,grandMA3 Phasers,official-doc,https://help.malighting.com/grandMA3/2.3/HTML/phaser.html,Beat-phase-width-transition vocabulary for movement,phase offsets; repeated motion families,mechanical chase look
P0,laser-geometry,Pangolin BEYOND,official-page,https://pangolin.com/pages/beyond,"Laser-first geometry, live control, multimedia timeline",fan sweeps; tunnels; radial planes; color tuning,demo-laser spam
P0,screen-space,three.js WebGPURenderer,official-doc,https://threejs.org/manual/en/webgpurenderer,Modern browser render/post backbone with fallback,WebGPU mindset; node-based post stack,assuming old WebGL-only composer model everywhere
P0,screen-space,three.js TSL Post-Processing,official-doc,https://threejs.org/docs/TSL.html,Browser-native post vocabulary already exists,afterImage; bloom; chromaticAberration; anamorphic; dof,hero-only material tuning
P0,screen-space,AfterImageNode,official-doc,https://threejs.org/docs/pages/AfterImageNode.html,Frame-memory residue/trail effect,aftermath ghosts; lingering impact,always-on smear
P0,audio-systems,TouchDesigner Audio Spectrum CHOP,official-doc,https://docs.derivative.ca/Audio_Spectrum_CHOP,Clean model for frequency-spectrum extraction,band-family routing; cost-aware FFT sizing,dumping full FFT directly into visuals
P0,audio-systems,TouchDesigner Timer CHOP,official-doc,https://docs.derivative.ca/Timer_CHOP,Timed-process engine for states and callbacks,cue holds; recoveries; timed aftermath,stateless immediate reactions
P0,audio-systems,Notch Working With Audio,official-doc,https://manual.notch.one/1.0/en/docs/learning/working-with-audio/,Layered audio-reactive/live-show mindset,broad envelopes + precise triggers + external feed posture,single reactive stream
P0,shader-first,Synesthesia SSF,official-doc,https://app.synesthesia.live/docs/ssf/ssf.html,"Shader-first scene model with audio uniforms, JS script, images, multipass",hybrid shader + JS + multipass thinking,assuming all spectacle must come from meshes
P1,browser-intensity,projectM,official-repo,https://github.com/projectM-visualizer/projectm,"Archetype variety, preset transitions, large visual vocabulary",identity contrast; transition confidence,preset soup
P1,browser-intensity,Butterchurn,official-repo,https://github.com/jberg/butterchurn,Browser proof that web visuals can go hard,transition blending; web confidence,constant rainbow scream
P1,vfx-architecture,Unreal Niagara Overview,official-doc,https://dev.epicgames.com/documentation/en-us/unreal-engine/overview-of-niagara-effects-for-unreal-engine,System/emitter/module/parameter mental model,split monolith into effect families,one giant scene file
P1,vfx-architecture,Niagara Lightweight Emitters,official-doc,https://dev.epicgames.com/documentation/en-us/unreal-engine/niagara-lightweight-emitters-overview?application_version=5.6,Performance-friendly stateless family model,cheap repeatable effect layers,overbuilding every effect
P1,debug-culture,vvvv gamma GPU Debugging,official-doc,https://thegraybook.vvvv.org/reference/libraries/3d/gpu-debugging.html,Profiler + RenderDoc mindset,inspect passes; name costs; kill guesswork,taste-only optimization
P1,world-building,teamLab Borderless Tokyo,official-page,https://art.team-lab.cn/en/e/tokyo/,Borderless world where artworks relate and intermingle,environment participation; relational layers,isolated hero in dead backdrop
P1,world-building,Moment Factory SuperReal,official-page,https://momentfactory.com/products/superreal,Architecture-scale immersive storytelling,room-scale consequence; transformed space,screen wallpaper mentality
P1,world-building,Refik Anadol Studio – Machine Hallucination,official-page,https://refikanadolstudio.com/projects/machine-hallucination/,"Scale, continuity, data-as-material, image life",large-surface continuity; temporal drift,formless AI slush
P2,compositing,Disguise Compositing Layers,official-doc,https://help.disguise.one/designer/layers/compositing-layers,Layer piping and effect composition model,separate layer families; effect routing,single flattened render path
P2,compositing,Disguise Blend Mode,official-doc,https://help.disguise.one/designer/layers/common-layer-properties/blend-mode,Intentional alpha/add/screen/overlay vocabulary,localized additive spend; masking discipline,uniform bloom fog
